191 1
41163 41163 10
40452 40452 5
59900 59900 4
55955 55955 5
17091 17091 2
3144 3144 5
60028 60028 7
17854 17854 10
9822 9822 4
80639 80639 1
32676 32676 4
1354 1354 6
66594 66594 4
22824 22824 9
79519 79519 5
55689 55689 3
50317 50317 8
25998 25998 7
39738 39738 5
58226 58226 6
66098 66098 1
2003 2003 8
42685 42685 9
525 525 2
53909 53909 7
23043 23043 9
77284 77284 2
85668 85668 7
56726 56726 2
73724 73724 5
52860 52860 5
24762 24762 9
49835 49835 3
84331 84331 10
87267 87267 8
85474 85474 8
20610 20610 4
31545 31545 5
26422 26422 10
44257 44257 8
56312 56312 5
30144 30144 1
64427 64427 9
31055 31055 10
86050 86050 1
21453 21453 9
90823 90823 10
60985 60985 3
74258 74258 10
66226 66226 3
28261 28261 8
81904 81904 9
39431 39431 4
43881 43881 6
50454 50454 2
61861 61861 6
59500 59500 8
5844 5844 4
43825 43825 2
51542 51542 10
90125 90125 4
79251 79251 7
92821 92821 3
76785 76785 2
68979 68979 5
43848 43848 9
76286 76286 5
83948 83948 10
70860 70860 9
1738 1738 1
81654 81654 10
29648 29648 5
81972 81972 7
93427 93427 10
88566 88566 6
29701 29701 8
73871 73871 5
8509 8509 5
99369 99369 2
33392 33392 7
27005 27005 8
22418 22418 3
96754 96754 6
62276 62276 5
93163 93163 10
53938 53938 6
42384 42384 2
12668 12668 7
91089 91089 9
7236 7236 3
63963 63963 2
14082 14082 4
32180 32180 7
49492 49492 5
66037 66037 4
7011 7011 5
4826 4826 7
37697 37697 4
60704 60704 5
88845 88845 6
7430 7430 3
74524 74524 7
14638 14638 8
4864 4864 3
86 86 4
79405 79405 8
89912 89912 5
17230 17230 6
28824 28824 7
44862 44862 4
9532 9532 1
85638 85638 10
21172 21172 1
58069 58069 8
12954 12954 6
25676 25676 7
33983 33983 6
86949 86949 9
34230 34230 4
46533 46533 10
25062 25062 9
12657 12657 4
20098 20098 6
67861 67861 2
59777 59777 10
66706 66706 9
46473 46473 7
43499 43499 2
34950 34950 1
87249 87249 2
47660 47660 9
73928 73928 6
90820 90820 5
62951 62951 3
1240 1240 2
64469 64469 8
79716 79716 7
21844 21844 2
51460 51460 2
35353 35353 8
95464 95464 2
62382 62382 10
17347 17347 2
28282 28282 9
39730 39730 3
42274 42274 9
94868 94868 10
8427 8427 8
1954 1954 10
92214 92214 6
93782 93782 1
92808 92808 6
23731 23731 3
87839 87839 6
8791 8791 6
1699 1699 10
16221 16221 6
5158 5158 9
81390 81390 3
67532 67532 3
50480 50480 10
79746 79746 7
40684 40684 10
11174 11174 9
62404 62404 8
38355 38355 2
20152 20152 3
29299 29299 9
96113 96113 7
24656 24656 10
77822 77822 6
64606 64606 10
82711 82711 8
11559 11559 4
85329 85329 1
89849 89849 8
90195 90195 9
35091 35091 8
99956 99956 4
41107 41107 9
5171 5171 10
75394 75394 4
67947 67947 10
36433 36433 1
11211 11211 6
75732 75732 10
10727 10727 10
36767 36767 2
86058 86058 1
16478 16478 5
23774 23774 3
