1000 1000
A 431 1500
B 431 432
Q 1000 823
A 379 1404
B 378 379
Q 463 1366
A 1845 688
B 474 475
Q 2000 308
A 572 1662
B 572 571
Q 1574 571
A 1905 804
B 1500 1501
Q 1501 1922
A 1951 889
B 2 1
Q 1501 1681
A 1944 886
B 380 379
Q 488 1431
A 1923 852
B 854 855
Q 1501 854
A 189 1142
B 1662 1661
Q 1662 467
A 1710 616
B 29 30
Q 2000 1847
A 903 1952
B 353 352
Q 572 1500
A 732 1869
B 1951 1950
Q 802 636
A 337 1296
B 1966 1967
Q 150 1551
A 215 1186
B 1186 1185
Q 942 1956
A 1858 715
B 109 108
Q 1001 469
A 27 1001
B 1878 1877
Q 1973 1213
A 283 1239
B 688 689
Q 734 706
A 536 1637
B 337 336
Q 1661 1603
A 1867 731
B 715 716
Q 1877 1160
A 1128 186
B 1591 1590
Q 1439 264
A 388 1420
B 186 185
Q 1237 1500
A 212 1182
B 1944 1943
Q 1952 1500
A 399 1447
B 392 391
Q 1840 1364
A 963 1980
B 1403 1404
Q 49 1943
A 328 1283
B 889 888
Q 187 1403
A 1993 984
B 266 267
Q 39 30
A 632 1711
B 750 751
Q 85 1153
A 1432 395
B 1844 1845
Q 764 889
A 83 1022
B 1043 1042
Q 136 391
A 190 1143
B 1283 1282
Q 821 751
A 958 1974
B 1411 1410
Q 1844 751
A 1116 169
B 1633 1634
Q 571 1918
A 488 1566
B 886 887
Q 545 225
A 415 1469
B 1268 1269
Q 688 1662
A 757 1884
B 1575 1576
Q 1555 1274
A 1690 603
B 1621 1620
Q 1268 1431
A 906 1953
B 1530 1529
Q 715 662
A 267 1228
B 573 572
Q 1832 1575
A 1039 108
B 1448 1447
Q 1411 1488
A 1410 382
B 713 714
Q 391 1829
A 387 1419
B 1712 1711
Q 1601 1599
A 1628 535
B 115 116
Q 861 1903
A 88 1024
B 21 22
Q 1782 2000
A 527 1612
B 1143 1142
Q 1283 1043
A 344 1310
B 1138 1137
Q 1712 843
A 1894 772
B 1697 1696
Q 1676 1675
A 665 1778
B 635 636
Q 1299 449
A 1011 50
B 1142 1141
Q 643 636
A 1977 961
B 215 216
Q 1369 971
A 1181 207
B 1636 1637
Q 1042 378
A 1898 777
B 1297 1296
Q 1397 106
A 870 1931
B 1867 1868
Q 186 1568
A 1915 822
B 1404 1405
Q 182 610
A 483 1565
B 698 699
Q 670 1426
A 1976 960
B 77 78
Q 1115 1889
A 1367 359
B 1228 1227
Q 606 120
A 1207 242
B 1643 1642
Q 116 1035
A 1217 259
B 1125 1126
Q 870 886
A 1253 292
B 1024 1023
Q 29 1410
A 1990 982
B 477 478
Q 437 392
A 830 1917
B 1187 1188
Q 525 571
A 1701 610
B 1499 1500
Q 1946 351
A 1238 281
B 1884 1883
Q 1575 555
A 291 1250
B 1762 1763
Q 1349 908
A 1622 530
B 146 147
Q 1329 1882
A 380 1405
B 1490 1489
Q 1520 1711
A 354 1353
B 1526 1527
Q 855 478
A 1994 987
B 1915 1914
Q 478 545
A 594 1682
B 957 958
Q 267 884
A 1110 163
B 1039 1040
Q 887 1762
A 1289 333
B 1072 1071
Q 1360 1385
A 1926 855
B 1067 1066
Q 571 751
A 482 1560
B 190 189
Q 1295 1292
A 1852 703
B 359 360
Q 1576 127
A 1243 286
B 292 291
Q 1711 1697
A 1988 979
B 1410 1409
Q 1318 889
A 666 1779
B 242 241
Q 968 123
