100 100
A 44 150
B 44 45
Q 100 49
A 93 191
B 92 93
Q 36 166
A 134 20
B 74 75
Q 200 12
A 71 169
B 71 70
Q 174 100
A 157 54
B 150 151
Q 151 172
A 196 97
B 2 1
Q 151 131
A 187 91
B 94 93
Q 27 131
A 142 34
B 54 55
Q 101 70
A 27 137
B 169 168
Q 169 37
A 193 95
B 29 30
Q 150 143
A 94 192
B 53 52
Q 2 168
A 38 145
B 196 195
Q 76 85
A 25 136
B 166 167
Q 16 115
A 75 174
B 174 173
Q 88 156
A 199 99
B 9 8
Q 174 63
A 92 188
B 178 177
Q 190 118
A 11 116
B 20 21
Q 50 46
A 73 173
B 25 24
Q 195 194
A 166 70
B 99 100
Q 166 105
A 185 90
B 191 190
Q 109 35
A 13 120
B 90 89
Q 160 150
A 32 140
B 172 173
Q 150 74
A 12 118
B 120 121
Q 9 15
A 123 14
B 133 134
Q 75 86
A 182 83
B 92 91
Q 77 76
A 36 144
B 141 142
Q 23 22
A 85 183
B 162 161
Q 121 79
A 143 35
B 167 168
Q 150 51
A 78 176
B 143 142
Q 21 89
A 86 184
B 182 181
Q 1 200
A 68 164
B 111 110
Q 133 2
A 113 9
B 10 9
Q 78 75
A 72 172
B 85 84
Q 182 190
A 60 161
