155 124
115 15 19
80 127 76
1 117 100
123 57 21
75 153 40
27 147 56
68 28 46
61 5 13
30 101 90
85 149 91
58 48 81
141 14 4
150 136 77
90 51 47
104 76 96
47 65 23
1 4 29
140 136 67
27 136 82
75 52 24
107 148 48
51 26 17
61 58 16
84 17 70
51 70 66
141 59 32
11 106 33
39 63 79
73 139 5
135 119 78
133 70 94
81 19 15
132 78 74
151 2 42
133 109 77
25 27 57
86 0 16
98 66 67
142 126 9
21 66 58
154 115 63
124 21 82
27 110 40
113 76 76
154 34 28
101 114 28
80 18 96
122 21 71
134 27 11
63 47 29
4 33 34
70 45 62
121 144 29
39 26 38
93 42 86
129 48 87
56 69 26
152 18 39
106 129 51
85 139 85
95 77 61
78 130 43
28 11 87
142 138 3
86 99 85
91 68 2
146 148 1
13 145 10
78 72 28
99 97 49
88 49 50
3 123 18
53 111 96
107 20 44
7 77 80
129 27 4
135 8 2
38 77 57
59 21 83
91 92 22
38 149 36
119 33 70
43 8 93
140 83 30
84 154 19
106 86 62
26 103 92
54 46 29
53 44 20
27 31 49
54 2 90
55 8 81
133 132 45
117 57 21
84 3 9
54 14 10
40 52 19
30 74 46
123 65 11
140 7 55
13 85 93
41 131 49
63 150 22
153 144 59
137 38 100
140 98 64
18 44 93
48 126 91
117 65 23
154 11 98
94 49 10
34 148 48
95 12 97
72 127 91
108 1 64
152 0 93
35 79 85
4 74 24
98 140 70
68 59 72
124 75 100
34 5 62
79 61 18
116 150 9
