4
25000 24999
4954 7004 1423720
7752 14785 -589277
8321 13901 -1728331
5897 19057 78668
5551 21768 -101770
690 17240 1413371
7766 24690 -182989
1927 6782 1629046
10160 10372 180862
2154 13168 25505
8707 12350 -782425
6503 21731 348364
235 2880 -980623
2817 4083 1284674
30 80 -141748
481 20599 188508
17047 24204 1122660
18333 24234 -1059830
730 4639 1608534
11512 15575 -406988
876 20479 -1192249
14570 17660 -301192
8923 13383 883006
7157 11430 -964410
239 20432 413458
8549 16969 -277771
8375 17196 -2766
10225 12998 50902
11359 19446 145862
2871 5600 572702
3540 4946 1551261
556 2201 1007387
5050 14145 1221961
6078 10484 1452585
3871 6051 -969638
6347 24049 418697
4525 5290 687
4224 5957 -1346735
1674 2071 185049
11063 19029 -673374
8781 11267 -888227
2483 3808 588562
12025 14172 442956
4704 16176 605126
3791 5189 -252334
1108 1499 548907
7298 13911 -811169
5525 22535 260465
9820 16425 -1372069
2783 5549 -302556
6766 22332 329054
1406 17799 -295844
6302 9497 1113957
14465 18179 -494242
11522 16140 -526212
17282 22485 -826036
732 1524 1085816
7065 10316 149840
7124 16116 -333424
11280 15638 -306937
131 1383 811130
7570 8123 -318910
7969 24127 376925
6178 19827 804555
7820 12010 1055142
2780 12884 -657823
436 1217 372701
1580 2820 1110629
5688 20040 -208588
809 3181 -845781
122 15292 -188248
20135 20172 1644288
4954 17523 1304760
19863 19960 -1334374
9999 24257 -394341
2195 4857 141707
2919 15863 -25540
13369 23461 -61382
92 7772 550164
2010 7162 -1321
254 9565 -136339
7814 21721 -729202
388 8227 1433148
7990 10585 14238
882 10685 315231
9512 17835 170683
6666 20965 -441693
1140 14518 -135153
7718 16193 873344
19461 23395 255471
12608 17367 69934
6147 9198 -86485
2715 3621 219758
8856 22493 370453
150 301 -280570
524 15071 -320253
4082 6171 550751
3780 11697 206958
1047 23138 1103101
8123 13931 1207558
431 22400 -1163095
4669 17763 181348
1723 4031 -1170606
18249 22383 -32135
6503 23828 -955470
3328 20767 -1788984
14162 20156 -1188324
17259 24363 -592668
1914 6877 254247
22717 24800 274936
8219 12899 293613
3246 7539 -1105395
10419 17957 -500376
11630 14231 9602
20598 24649 -571119
17219 23600 -133811
2920 3030 158780
1864 13078 274587
164 11715 -177629
2830 3081 -292355
16718 22169 1057681
11209 14694 -503439
9006 11276 -1671817
9028 11748 1035005
198 5506 -789117
282 13709 37884
17473 18743 734608
2784 7500 1345641
12859 13336 102339
899 2664 343223
3044 3153 127377
3170 9409 310094
5775 20335 562207
8955 10696 -1282097
8150 18253 816314
9309 15294 -1493167
10081 14951 -26194
11418 15576 -698618
23434 24544 36025
2517 6862 -538681
16811 17202 299167
1575 3155 1000815
441 5897 870718
49 4682 1290643
3667 5569 -254238
11124 11890 128003
699 1920 695144
3328 12474 -904244
8279 23327 559142
144 11340 1729538
14577 24291 119415
11790 17542 265771
8990 22525 201810
1220 1599 -124059
18392 18908 -819971
3226 5690 -363591
4183 12414 -464294
10878 13504 13790
243 13606 319795
2504 13711 1389404
2758 2959 4201
4440 14702 720783
3481 5529 1112250
1630 2214 1086395
10646 13266 1624091
2339 12662 155683
423 22659 497546
589 1037 857522
