6
15462 16963
14006 9993 -286968
15093 10636 1493067
13851 5716 -259191
10414 5560 -616169
4045 9060 -599406
3519 8972 -1292518
12211 13286 -65980
5155 11298 229667
11292 7279 1156299
6051 4117 -208808
4820 9061 804363
1170 6681 1138696
4630 12834 -657805
12978 12719 1106733
6991 11320 -1272955
2871 5622 556266
5817 5378 -10629
3159 1852 -185507
6528 6511 -84964
7157 2241 136678
182 2416 1272859
12140 9597 657134
13541 341 1118669
9263 11465 -535356
9522 8747 898968
12107 2289 -580274
6803 622 1186747
3605 133 -1152645
915 3408 546469
517 815 388451
6404 5273 -494356
2972 11647 239497
716 2314 -1012587
15406 2703 382417
4566 10563 -88469
3601 2782 -111971
14331 11375 237462
5442 3432 47652
15261 9341 -1121611
6408 13930 -1700838
1826 12800 -148857
6691 6777 219759
1900 7301 1719815
2163 1023 -620366
9846 5440 624780
13882 1027 -43699
15003 12798 -165786
11084 12285 -196387
2917 7631 -1567796
14351 6797 596726
7360 7865 -280939
4572 15158 663412
2238 13200 31858
6146 13061 984614
11929 7788 -1055383
10868 14018 727625
4419 4916 1269324
7605 3383 595093
13102 9596 283538
13448 12119 1388183
7624 2632 -81072
166 11534 1213978
2405 9336 -679552
9125 9978 -1381770
11364 7481 -651250
429 10484 -444253
8778 12723 867171
4048 10257 27742
12808 897 -411736
12133 13390 906185
11439 6651 2828
12663 3348 1356102
10061 10209 1069260
9686 11012 341130
11519 5939 -1876682
11644 1401 656623
10979 8828 816764
5391 8524 -1498169
13625 14293 201704
2585 2570 702553
2193 10140 -444798
7241 11881 740143
6187 3153 -5928
2355 11701 -945141
11847 1937 -403224
9675 1965 717808
6205 829 436231
8314 3395 319858
6113 334 -317839
4997 9807 371896
6109 316 -1151587
14832 12605 -1213959
1987 7531 546715
6338 13450 850297
8617 4593 -126275
6029 3472 -113133
10988 6500 -509047
9109 12251 751466
4160 14260 298083
12231 4443 -1050996
15400 13955 532516
5815 6816 497995
9615 11173 267040
3467 4128 809043
7367 269 -831545
831 9897 -14583
3625 5081 1204691
71 7261 105732
12458 14691 -475124
11897 14788 -794358
12752 13921 -1551458
2379 1998 -371732
10286 12197 1822280
7833 3888 1039869
6600 1751 -112478
4901 7409 1234489
9054 3807 324944
5539 5173 179463
7132 2486 -1707238
1788 1532 147065
9698 4818 443256
7069 9909 667868
7172 2991 781207
5914 12482 -1774374
10627 4627 -800843
11955 4571 106415
2735 14554 229904
7397 5192 761877
8833 12662 952235
9261 13885 -225974
9399 10398 152316
15347 11457 1597605
10321 14090 -82339
4708 9073 -1359990
8196 9365 -1302788
12580 5708 168110
14966 8332 -233740
1527 12252 -399102
12008 10772 1067077
802 1097 -477781
12586 14527 -1463819
4326 2407 845599
14869 819 521258
14243 1238 -1343418
10608 13070 1387332
12475 7277 55686
7184 880 -1371439
7488 5310 -243653
1616 10552 1443019
2357 6831 -368250
7342 6538 -1053454
4768 8675 -1385795
12533 1989 -50099
14331 6351 -896481
13729 9697 -756160
473 14063 -467502
3707 6228 -209366
3735 7313 -716288
7609 14031 -575475
13518 3936 -1498452
10218 5113 -483288
8742 9627 -7444
4770 7820 1129483
6690 8778 -1112694
2882 5797 1053510
5149 12873 615965
12739 10137 -1110138
1293 1771 108000
9664 855 797271
3858 10748 -777052
6572 11852 -372065
4078 13325 -643710
1215 3986 148539
14116 11376 1392550
3549 9308 -1240968
4180 13053 195497
913 13181 63458
2047 3195 -1551626
243 14253 -674593
3048 8260 339785
10110 11556 386349
12119 9123 -881104
14425 752 1352077
9646 11676 728712
10988 9203 -1466664
5429 14914 -156627
5774 951 27837
2223 475 -224562
8115 1442 89987
3873 11940 -306502
13187 9169 1020089
12211 2210 -899640
14828 3251 894693
12695 11177 -457793
5513 12164 -338606
6680 1129 -652448
9776 10329 823671
14120 8159 -210552
1594 6341 -431343
11695 12259 -1810802
817 5017 777779
11705 11116 440012
427 8761 60501
7068 12232 -425536
14506 10783 -787314
13233 9921 -1844381
1672 6954 -411965
3553 2961 756787
14164 9865 919763
8099 10084 624202
5985 5553 -455812
1367 7030 -508562
314 4365 -567070
3940 1042 1551639
7769 2471 568393
1130 457 137578
3200 9302 186191
11874 6636 -252008
2305 5559 382390
13648 5065 -227703
8721 13417 -1165631
302 7195 1069283
3498 13235 -1011744
4830 14910 1713585
13464 5399 -956082
4001 10176 479826
9263 10488 -284861
11613 12176 60358
9606 1201 -148355
14529 5377 -1053717
2009 6808 1365357
7192 9202 102131
8993 4753 1231885
13734 5878 -106697
11659 11002 698848
10484 4985 305525
2686 1266 -26229
5018 6428 -559987
8788 5824 -1357727
11364 6097 -1147723
11446 944 426413
13364 10406 -409784
9620 8293 -604353
3231 7552 6704
5126 5801 268759
6131 3778 31462
8517 6434 1636923
12896 13838 702797
14933 8410 -862797
5580 6226 -452379
11954 9969 -22614
9680 889 72936
7674 11444 -829406
15428 9235 -302668
1440 6688 -249983
3971 5051 -1581166
3593 15106 978073
14222 1010 -45308
10231 11318 939518
1186 11486 1944955
11308 4210 -1713840
8991 10294 -1278135
2622 10227 952023
5034 1623 -432156
7580 3685 -325768
11108 9431 -528936
9083 11739 -417661
9753 6220 -821570
260 13427 -370616
13804 10345 468181
7429 6219 -730229
8098 3578 -651740
1161 12469 1463561
417 5389 175555
11944 14021 -11789
4322 208 -946856
13587 8530 675297
4383 7426 -1668236
7363 3694 -562469
5192 14948 -518266
6296 11111 143654
12150 1033 822796
10281 4898 -688303
2314 9771 1202746
175 10461 -1198903
1138 9269 -934259
14589 1297 660140
10633 1680 304802
6497 6922 852737
11912 4315 1248505
11881 4630 -261071
3055 11465 -1271918
4034 9663 -763717
13610 14208 1298125
12158 613 -1084751
9904 7488 199251
1490 5063 -139715
2011 4519 -629318
6885 14366 1325144
13846 9788 -713746
3609 4813 269478
15144 1959 -158084
10448 13265 263037
9203 8823 214621
8221 1971 1174432
1638 7008 -1593948
5982 1723 1506952
14273 3886 1041845
7757 10079 -107660
11646 11400 -109404
13620 11860 1621332
15189 14290 928879
12476 6728 259187
2340 1561 -598431
2269 5270 389303
2405 13233 216844
4057 13916 -1133736
10888 14618 832848
6102 3543 1703008
2131 3525 203951
12485 13369 -1420807
5394 1598 -532346
10301 377 546283
9130 14922 -169487
3058 6208 780216
6974 4755 -297024
3368 3709 698500
4219 4080 -543797
46 11796 -483837
13883 13054 568070
3108 4315 1512037
13848 7084 787379
4722 3267 652856
1988 6263 -104681
4592 13808 -823362
9364 12783 622296
5962 2063 64454
10705 5358 -1295636
1470 3247 -716642
11852 12989 -621652
4801 2441 328619
3924 14710 562008
12570 6169 -1214732
1004 4881 -1269334
14978 12893 403469
14286 12520 947017
7270 12142 905398
5929 9764 240843
3035 8370 1348204
163 12190 -755312
14116 1465 551852
10030 1118 298007
15241 6518 -25562
11627 8925 -1315854
3172 14095 -556836
15198 5788 517338
575 5265 557642
2125 13421 -672519
8263 15249 918346
792 9340 -23181
9137 3350 126708
10334 3009 -560058
3439 7808 -966683
10692 7822 -1738179
7336 14039 17442
15206 3239 -1840598
3308 12172 -127313
10512 12499 -1091015
9205 12986 -1027995
8250 4056 -1381330
13199 2262 -753356
11973 11833 767135
2297 4967 -786206
11151 7466 608246
8547 5884 -612340
14527 3627 114450
1457 14810 719855
4243 4571 433498
3797 10577 -412534
9428 9690 493656
6944 6726 22385
4313 9690 606986
5432 14435 -300748
10322 14388 109186
1199 13216 1856505
14311 1532 1428761
9872 1005 203676
1976 10916 -156997
7839 166 189575
6985 3016 -200749
5099 5619 -476268
1006 2823 -316859
14967 8503 494229
10599 11586 3294
2976 8855 -549081
9257 2247 226888
10189 4136 -664198
12108 7512 474719
8824 9397 -1335253
10411 4404 714230
6523 10123 -1156540
3624 14630 -25013
13589 6414 385792
5677 6167 1330578
10679 740 -1184721
3104 8504 -891660
4009 5879 -521640
14053 13108 611074
15404 4705 -1579788
204 13313 221312
1957 4444 -504197
6508 6739 -629850
15275 5520 488308
717 7428 65700
14789 6846 -1072087
13716 14575 537806
2734 3386 -602635
2947 5245 232777
12645 11369 -1989333
3287 13755 -707589
11881 15398 -416043
7221 8620 -1281138
7803 284 -893391
8934 4112 805368
7198 10733 -355297
12713 5679 490728
8136 6604 1078649
11066 5688 1117187
15024 5382 -286537
4071 13586 -111194
4964 3939 638823
4607 12460 155765
8441 3693 70954
160 4427 883567
12845 9661 108531
7985 5405 -718233
6662 12798 -536444
13581 2982 -412705
3936 12959 1375656
3425 10148 146354
12476 2658 277391
10714 11263 -241382
315 780 392892
14083 2426 -1017535
13569 11367 -277
441 7041 639670
12661 11723 1729769
7313 14642 -117845
1581 7463 -711676
7683 8211 -616085
10544 5264 442623
14146 5307 -1056466
7492 1102 19402
9314 13312 -773334
14108 130 1868267
10096 10661 -156291
12492 2299 -656192
4172 8271 571951
306 2473 -127305
7351 13008 309662
9635 9440 -827693
9239 637 -651316
7046 13610 128687
10370 6230 -511089
11350 2914 1256789
7758 3208 -1053984
13273 9877 242547
5529 15461 1011806
5085 10883 730389
2318 8754 -245481
5633 12507 -239550
3059 11736 728118
13401 3713 -1154964
2063 12578 -1421672
5947 946 163030
8952 11059 933983
4195 12457 -1246386
11754 10177 -607569
14469 10676 380604
13070 9590 -1624286
7194 6490 -697918
11442 6460 -928819
840 6048 76120
8794 10577 -1276125
11469 8266 475359
10993 8344 247899
11470 11735 935398
3042 1383 1305813
3410 10721 1089542
8914 1833 -675679
11973 535 1034090
8886 3107 -904029
914 15283 -1432554
6013 1296 -1243325
9675 14575 648531
10078 7481 -384606
373 12316 -1260270
613 5659 -241305
11163 13678 630011
10385 7627 137616
6711 12640 293331
11967 9420 -323559
6058 3046 -450426
9466 2201 -818958
13932 10909 -1527179
13445 258 -999223
5758 12804 -168334
5135 13018 -780633
2913 4936 -557821
8237 8722 1176813
15404 452 -249496
7584 12800 -1040249
394 12858 -3372
9264 9172 332771
3665 6185 -796614
13631 423 1318747
9126 3932 -478502
15155 6941 993911
8192 2972 -724384
528 9506 1042014
7560 11507 1286939
687 9464 174368
11452 5970 151162
4205 6020 -1505695
8197 13222 369316
14407 3027 619838
3793 3199 -1529923
8142 8590 -78234
11378 11029 1580812
13294 1224 -1010635
2361 1633 90888
6775 8798 -714027
4604 1166 1732308
10810 2074 468776
5248 2623 386310
8418 13230 1562159
8287 7868 -1673182
14889 9394 668415
5884 10754 123998
844 13112 168212
1125 12695 -563948
8662 12326 -1497115
9305 9828 48344
12227 9628 475571
1214 14246 -796158
5365 11877 1372049
9916 8715 -114325
8578 6160 1324709
3124 5536 212699
5625 15172 -1643496
12716 15218 476727
10172 7364 -1007367
13009 10786 538695
976 3275 356455
11034 10818 1617745
4254 7833 -285175
8548 14962 1754507
13572 4212 603666
13688 14277 834528
123 11411 -441006
9 4030 -128074
14721 5848 260015
14456 14110 -240229
13096 5501 1297512
3318 14919 -890003
12927 13216 623267
11606 4554 -1469874
14835 6579 572708
3284 13159 722373
3589 9781 627025
14650 12403 -1059580
8088 1720 -93966
14361 845 34251
7889 3506 1199589
12442 5181 -404301
12546 1849 -733199
11270 3842 601320
1699 1879 1002827
11562 14957 -218962
3764 4580 -947407
13382 8036 -999696
13238 6461 -321080
13595 4209 744788
2433 1364 -401012
2249 9476 1295029
4183 5829 642207
9384 11677 -149481
14015 9294 -1014786
1014 14535 -1314569
3622 6403 658536
9057 3344 -856793
6538 5282 583222
288 875 -887505
11473 8955 257491
11273 9316 -115890
1201 7926 751561
5662 9689 353490
2269 5631 257494
11807 600 358647
13976 14168 -316054
6535 5916 -923912
6160 8807 -226369
1189 8299 -37223
11217 10856 -115066
8064 657 45736
5178 754 993568
5024 4519 -1091677
2125 7980 718115
12200 1234 -1399363
12093 7216 -173108
966 9122 -633078
8172 4209 276447
8910 1953 -451569
13167 2462 -473408
3974 9319 489021
3446 1436 -440308
185 6040 1012502
12035 3192 -372216
13432 8963 -1495744
4704 13426 -111769
5637 602 -630129
12999 7748 -131979
10893 4140 -867341
11423 13328 545179
1049 6187 -97709
6370 11415 -1343315
7514 7676 1362386
9648 14329 320238
3299 14270 98514
7968 6173 -555264
14039 3791 -1180004
6097 13998 1368236
9367 12306 -336876
7142 12395 724271
7678 5042 -65467
11053 645 1264848
7238 14634 -886985
12360 5997 -1291304
1657 10222 -136428
14242 3016 1028169
14233 9788 -1716034
15462 3056 1414967
14338 10302 -576735
5305 5483 164574
618 8118 163154
8903 14590 -1678373
14217 1118 283394
3997 4462 -497565
4544 1740 373329
14242 9283 306154
11537 13353 -587330
11286 6749 -114862
15090 10102 -1771112
12576 2723 92826
2860 2831 1242181
14840 15119 -184582
4192 5282 552375
2218 993 -1188177
13900 4507 1160265
13662 5867 -504926
2097 13346 -323549
158 3212 599686
7349 5877 602002
6419 13036 -315054
13803 10072 834201
10945 3715 106785
9689 11980 231609
10135 12644 869062
11977 5239 -59011
3002 4860 831968
629 9797 -20303
4365 8814 -166243
11932 5321 366857
12533 7479 734658
11920 9509 68095
3539 5698 -615685
6470 12583 825575
10777 3393 -950880
29 12680 -1256431
4624 5995 273074
314 15319 -61337
1783 12565 -66733
11519 13605 -882471
10243 9253 -641402
12257 2158 1441448
14915 1369 183399
7032 2440 148941
1656 8451 40857
13542 15262 -1124864
11694 1402 -1369455
12363 4039 -7941
3491 13950 948596
4086 11224 838695
942 12381 1279993
14984 14828 -773603
4992 2810 -504279
7053 8091 798085
11247 14634 -542365
6739 4227 1818171
14906 13155 316101
10353 12545 -303413
11223 9433 305527
8687 4917 -596370
13377 1901 -1392861
12141 3724 1472965
7524 5933 -1556988
1819 1250 -272390
2481 1017 -559279
8470 2720 -128490
2539 9824 294978
1512 2523 500784
2797 9447 -19355
8751 9398 -663816
11057 14434 -204307
12795 1468 -753687
10635 4389 -379280
425 13125 -1506026
14557 13637 602684
6313 9216 -311485
6030 9160 -105199
7758 9212 -1134958
382 3701 -382153
9233 1845 724058
4506 3679 408722
2257 2827 283131
11868 10224 -335502
14437 4433 -640921
13726 14086 716398
839 15227 721834
12846 9185 174311
8146 8691 216497
5155 716 833962
842 11427 423132
11437 5964 -205614
13096 11762 1282832
8839 12402 440723
597 1449 257743
3290 13418 -812003
3170 4207 -438166
8343 6676 212370
