10000 13847
0 563 0.92
1 9218 0.15
1 9291 0.34
1 1940 0.91
1 2117 0.70
2 2553 0.43
2 689 0.70
2 9381 0.64
2 372 0.67
2 5014 0.60
2 9723 0.90
3 5270 0.20
4 3456 0.62
4 5792 0.75
4 2140 0.78
4 3136 0.76
4 1466 0.07
4 8402 0.20
5 3173 0.48
5 2373 0.24
6 2657 0.52
6 7760 0.27
7 4449 0.09
7 6509 0.73
7 4963 0.61
7 4275 0.34
7 7441 0.72
7 2888 0.04
8 8936 0.72
8 8890 0.32
8 5854 0.68
9 8089 0.59
9 8179 0.40
9 5188 0.01
9 7432 0.54
10 3025 0.99
10 1798 0.48
10 4673 0.62
10 202 0.13
11 2698 0.51
12 5053 0.01
12 5076 0.63
12 4303 0.70
13 2137 0.47
14 9653 0.84
14 4160 0.49
14 9319 0.44
15 9831 0.73
16 252 0.93
17 9980 0.17
17 1715 0.36
18 4185 0.21
18 8183 0.88
18 5823 0.64
18 2952 0.92
18 8561 0.17
20 6270 0.76
20 8069 0.48
20 1172 0.32
20 7490 0.27
21 4093 0.14
21 9811 0.91
21 5611 0.61
22 8075 0.25
22 5300 0.80
23 6243 0.19
23 5388 0.12
23 2412 0.33
23 3284 0.97
23 4723 0.01
24 894 0.84
24 1911 0.92
24 5180 0.80
24 6109 0.68
24 625 0.01
24 6045 0.88
24 9604 0.27
24 1188 0.19
25 7390 0.05
25 7416 0.73
25 8390 0.33
26 2979 0.31
26 3821 0.02
27 3557 0.02
27 6407 0.68
29 3442 0.03
30 998 0.00
30 3883 0.03
30 6950 0.20
30 4604 0.14
33 8930 0.83
34 4789 0.05
34 725 0.55
34 7576 0.11
35 3808 0.01
35 5978 0.58
36 8093 0.31
36 1631 0.86
36 287 0.78
37 4309 0.82
38 5045 0.61
38 6660 0.47
38 9937 0.59
39 6381 0.28
39 1241 0.86
39 4736 0.91
39 7562 0.77
40 9087 0.39
40 9627 0.95
40 6867 0.80
41 3849 0.07
41 5642 0.97
41 5480 0.68
43 8636 0.00
44 6466 0.95
44 7392 0.49
44 7229 0.90
45 6445 0.69
46 8942 0.02
46 800 0.73
47 6834 0.69
47 8520 0.12
49 7285 0.87
49 2140 0.87
49 1416 0.69
49 5250 0.47
49 806 0.64
50 7586 0.77
50 62 0.39
50 9209 0.80
50 8239 0.43
50 1972 0.99
50 3034 0.48
51 2372 0.07
52 2076 0.45
52 5843 0.50
52 4130 0.83
52 5852 0.54
52 9399 0.69
53 530 0.39
53 5786 0.44
55 3712 0.02
55 1840 0.97
55 8155 0.26
56 6896 0.69
57 8000 0.75
57 5890 0.43
58 612 0.04
58 9276 0.01
58 6346 0.36
58 9593 0.22
59 1523 0.46
59 9393 0.41
60 6742 0.35
60 1577 0.73
60 6208 0.03
61 5757 0.42
62 4831 0.63
62 1081 0.85
62 1030 0.49
62 1705 0.90
62 72 0.71
63 4541 0.13
63 9743 0.68
63 796 0.63
64 7691 1.00
64 4020 0.78
64 6745 0.28
65 2583 0.66
65 5698 0.22
66 5672 0.16
66 1021 0.99
69 1758 0.82
69 9367 0.96
69 3519 0.80
70 1924 0.08
70 6066 0.97
70 899 0.20
71 1289 0.87
71 1612 0.15
71 1553 0.88
71 7834 0.46
72 615 0.47
72 497 0.52
72 6575 0.10
74 4952 0.77
74 2241 0.88
74 4660 0.83
75 98 0.52
75 7563 0.19
76 1221 0.18
76 8794 0.29
77 6015 0.99
77 8191 0.18
77 6356 0.02
78 6021 0.87
78 9256 0.07
78 9295 0.44
78 1443 0.49
78 387 0.27
79 4356 0.24
79 8690 0.36
79 9304 0.59
79 9494 0.66
80 9819 0.18
80 2144 0.16
80 3427 0.70
81 6852 0.94
82 4059 0.87
82 4247 0.43
82 8654 0.89
82 7321 0.79
83 4782 0.03
83 9152 0.74
84 5740 0.61
84 7436 0.03
84 4855 0.05
85 1846 0.29
85 9460 0.16
85 7028 0.09
85 5667 0.19
85 2352 0.15
87 1412 0.50
87 595 0.56
87 4709 0.52
88 1128 0.21
89 2979 0.83
89 9244 0.37
89 9231 0.56
89 2223 0.19
89 5101 0.87
89 3816 0.44
90 658 0.83
90 7705 0.83
91 8582 0.96
92 9577 0.66
92 1778 0.95
92 7709 0.36
93 1966 0.43
94 9701 0.13
95 5825 0.86
95 4582 0.29
96 7812 0.02
96 2001 0.59
96 5054 0.10
97 9385 0.38
97 1854 0.26
97 3836 0.98
97 1031 0.32
98 2306 0.86
98 6257 0.97
98 6773 0.64
98 7871 0.14
98 3548 0.92
99 670 0.98
100 5118 0.03
100 8121 0.92
100 5302 0.73
100 697 0.74
101 3096 0.85
101 2270 0.26
101 2072 0.13
101 6440 0.70
101 3115 0.33
102 300 0.19
104 6670 0.42
104 7268 0.05
104 7048 0.46
104 5689 0.57
105 6752 0.99
106 7342 0.34
106 8787 0.79
106 9352 0.78
106 4406 0.34
106 6842 0.79
106 3990 0.40
106 2677 0.34
107 1270 0.49
107 8634 0.99
107 4600 0.64
107 5422 0.57
109 6235 0.87
110 1141 0.66
110 9308 0.00
110 2722 0.21
110 8284 0.53
110 449 0.31
111 6852 0.82
112 8683 0.80
113 8066 0.85
113 2336 0.54
114 5821 0.21
114 247 0.32
114 6266 0.31
