10000 15534
0 3198 0.92
0 4600 0.40
1 1131 0.36
1 2244 0.05
2 8785 0.34
2 7730 0.97
2 6332 0.78
2 6442 0.08
3 6120 0.37
3 254 0.50
3 7146 0.44
3 1526 0.71
3 5785 1.00
4 1977 0.78
4 6724 0.05
5 666 0.51
5 5873 0.57
5 8266 0.95
6 4326 0.30
6 1976 0.50
6 5943 0.48
7 4091 0.27
7 8033 0.88
7 6617 0.27
7 5810 0.37
7 4215 0.36
8 9588 0.97
8 6984 0.31
8 6438 0.52
8 4756 0.41
8 6172 0.79
8 2226 0.02
8 8524 0.70
8 4658 0.83
9 5099 0.42
9 3779 0.45
9 3213 0.26
10 5098 0.57
10 4104 0.19
10 456 0.13
10 2148 0.53
10 4455 0.67
11 6581 0.54
11 7322 0.42
12 8618 0.36
12 6593 0.82
12 2247 0.35
12 1887 0.14
13 3627 0.16
13 829 0.64
13 2193 0.77
13 9098 0.73
13 424 0.88
13 3030 0.46
13 4201 0.64
14 9027 0.20
14 4591 0.65
14 9059 0.94
15 2524 0.40
15 9426 0.52
15 3806 0.18
16 4262 0.98
16 5369 0.47
16 7238 0.99
16 4920 0.04
17 8290 0.39
17 1638 0.19
17 3209 0.95
17 4775 0.42
17 3436 0.23
18 7039 0.47
19 3938 0.83
19 6680 0.60
19 1114 0.67
20 6087 0.79
20 8880 0.69
20 1293 0.75
21 7920 0.27
21 9494 0.67
21 6626 0.59
21 9132 0.13
22 7955 0.46
22 4158 0.59
22 4169 0.64
22 3725 0.02
23 6684 0.24
23 6507 0.26
23 6476 0.90
23 4012 0.63
24 9785 0.03
24 5282 0.72
24 4193 0.98
25 6813 0.59
25 2028 0.88
25 7294 0.15
25 1689 0.47
25 2896 0.50
26 2484 0.53
26 6122 0.98
26 8174 0.33
27 2649 0.22
27 7539 0.54
28 7374 0.37
28 2598 0.05
29 6767 0.57
29 4420 0.89
29 5071 0.98
30 3138 0.14
30 6288 0.46
30 7771 0.29
30 225 0.66
30 8326 0.72
31 3316 0.89
31 316 0.65
32 1547 0.77
32 8080 0.38
32 1432 0.34
32 5377 0.25
32 5463 0.40
32 4782 0.17
33 6367 0.18
33 5979 0.11
34 901 0.77
34 4879 0.30
34 9713 0.87
34 2950 0.44
34 9407 0.41
35 7129 0.68
35 9446 0.32
36 3956 0.00
36 6363 0.39
37 7553 0.53
37 5956 0.62
37 260 0.05
37 5369 0.32
38 6564 0.71
38 3626 0.72
38 5433 0.68
38 9406 0.04
39 3002 0.61
39 339 0.88
39 5457 0.02
40 3658 0.50
40 5010 0.04
41 8089 0.63
41 2886 0.59
41 2311 0.32
43 2828 0.53
44 543 0.02
44 5928 0.13
44 2460 0.20
44 8317 0.70
44 5448 0.33
44 1930 0.03
44 9142 0.71
45 8321 0.09
45 1504 0.55
45 315 0.03
46 4524 0.66
46 4347 0.83
46 8060 0.87
46 4209 0.19
47 9011 0.93
47 4925 0.17
48 8090 0.30
48 1901 0.29
48 2040 0.87
48 5011 0.79
48 9530 0.19
49 4619 0.65
50 2206 0.14
50 2175 0.29
51 9630 0.29
51 977 0.35
51 8275 0.24
51 6644 0.21
51 4546 0.89
51 4610 0.33
51 4433 0.90
52 7987 0.65
52 3724 0.60
53 3516 0.32
53 8223 0.34
53 67 0.97
54 9173 0.81
55 3974 0.49
55 1757 0.97
55 7168 0.55
56 9334 0.58
56 1267 0.22
56 2233 0.43
56 176 0.57
56 404 0.86
56 868 0.75
57 5135 0.39
57 6261 0.51
58 4066 0.52
58 2103 0.77
58 3717 0.37
58 1725 0.09
58 9272 0.70
59 915 0.10
59 2054 0.95
59 8893 0.67
60 3046 0.82
60 6870 0.83
61 5122 0.27
61 8929 0.69
61 4866 0.58
62 2999 0.58
62 1011 0.86
62 4615 0.41
62 3716 0.16
63 4823 0.03
63 2652 0.86
63 359 0.99
63 5147 0.44
63 1395 0.23
63 8466 0.39
63 3927 0.50
64 9875 0.20
64 498 0.32
65 6852 0.84
65 1001 0.19
65 538 0.74
65 4311 0.84
66 9206 0.12
66 5011 0.57
66 3364 0.14
66 3075 0.29
66 9092 0.12
66 9660 0.34
67 5651 0.84
67 8284 0.44
68 2917 0.19
68 6396 0.94
68 8248 0.96
68 4690 0.72
69 3571 0.25
69 4217 0.11
69 6676 0.85
69 7478 0.15
69 7775 0.74
70 2710 0.25
70 8294 0.47
70 1593 0.13
70 6984 0.31
71 1666 0.96
71 7436 0.08
71 3874 0.55
71 405 0.32
72 7257 0.89
72 3922 0.92
72 3936 0.11
72 6904 0.26
72 604 0.60
72 9839 0.86
73 4039 0.12
73 2866 1.00
73 5775 0.67
74 4538 0.76
74 3704 0.74
74 3537 0.16
74 8840 0.83
75 7796 0.28
75 2594 0.76
75 4826 0.47
75 3917 0.59
75 3376 0.97
76 3893 0.81
76 2419 0.18
76 8700 0.53
76 9987 0.19
77 4493 0.10
77 7686 0.87
77 3760 0.29
78 9114 0.27
78 1181 1.00
78 1402 0.75
79 510 0.26
80 5964 0.87
80 4606 0.90
80 4358 0.61
80 4956 0.24
80 2915 0.92
81 8162 0.04
81 3593 0.82
81 7130 0.08
82 1059 0.12
82 6077 0.53
83 2193 0.04
84 6058 0.27
84 1828 0.69
84 5273 0.40
84 8610 0.83
85 9037 0.36
85 679 0.12
86 8421 0.07
86 655 0.28
86 8305 0.40
86 876 0.41
86 7615 0.50
87 8845 0.40
87 9930 0.31
88 9268 0.13
88 3827 0.38
89 4047 0.94
89 3130 0.62
89 5777 0.58
90 623 0.57
91 7365 0.75
91 7011 0.85
91 9321 0.53
